species,ntype,stimulus,groupID,groupsize,name,age_m,sex,condition,approach_phys,approach_n,approach_alone_n,approach_soc_n,closest_appr_dis,latency_touch,sniffs_n,manipulate_n,explore_n,man_dur,sniff_dur,exp_dur,grid_time,lick,eat,notes
Marmoset,Object,Butterflies,L8,2,Tabor,144,Male,Social,1,4,3,1,0,18.185,7,7,14,61.229,0.033,61.262,165.065,NA,NA,
Marmoset,Object,Butterflies,L8,2,Wuschel,12,Male,Social,1,8,5,3,0,24.091,10,2,12,0.033,0.033,0.066,124.157,NA,NA,
Marmoset,Object,Butterflies,R2,2,Marvin,163.5,Male,Social,1,2,2,0,0,7.174,1,3,4,173.239,0.033,173.272,187.721,NA,NA,
Marmoset,Object,Butterflies,R2,2,Jamaica,59.5,Female,Social,1,4,3,1,0,4.705,6,1,7,0.02,0.033,0.053,72.705,NA,NA,
Marmoset,Object,Butterflies,R3,2,John,163,Male,Social,1,3,1,2,0,33.067,0,3,3,180.614,0,180.614,227.595,NA,NA,
Marmoset,Object,Butterflies,R3,2,Mojita,65.5,Female,Social,0,1,0,1,1,NA,0,0,0,0,0,0,87.321,NA,NA,
Marmoset,Object,Butterflies,M3,2,Werewolf,29.5,Male,Social,1,4,1,3,0,20.421,1,2,3,9.509,0,9.509,48.282,NA,NA,
Marmoset,Object,Butterflies,M3,2,Jambi,59.5,Female,Social,1,3,1,2,0,13.48,6,3,9,8.742,0,8.742,131.831,NA,NA,
Marmoset,Object,Butterflies,H1,2,Wasabi,45.5,Female,Social,1,4,3,1,0,11.945,7,6,13,213.446,0,213.446,213.446,NA,NA,
Marmoset,Object,Butterflies,H1,2,Kapi,218.5,Male,Social,1,3,2,1,0,16.35,4,3,7,157.357,0,157.357,204.904,NA,NA,
Marmoset,Object,Butterflies,H6,2,Vesta,192.5,Female,Social,1,NA,NA,NA,0,19.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Video stopped after 2,48 min fell over"
Marmoset,Object,Butterflies,H6,2,Vito,173,Male,Social,1,NA,NA,NA,0,19.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Video stopped after 2,48 min fell over"
Marmoset,Object,Butterflies,L4,4,Lola,91,Female,Social,1,2,0,2,0,59.492,4,2,6,3.07,0,3.07,174.874,NA,NA,
